"","DBH","Area_alg","SFtot_alg","ARtot","LA","Asapwood","Kr","SFdaily","beta","tstud","hom","D2H","D18O"
"1",15.5413873982616,189.70092726195,0.0201932098621208,14.3598735388531,0.111739006238058,0.018970092726195,9.92568266624585e-10,0.021915034801016,0.95024468133226,NA,1.3,12.7538851849416,-0.137457552874172
"2",55.8343468722887,2448.45858231925,0.103672879968606,138.541494807652,0.138542033648118,0.180157111446321,1.09557668836787e-09,0.101615573180147,0.95024468133226,NA,1.3,10.7185588820688,0.14455396567021
"3",36.7155421664938,1058.74110033237,0.0477040875000678,63.6771075503399,0.103684345097281,0.0928374458914397,9.82296963687986e-10,0.0450881966322726,0.95024468133226,NA,1.3,10.3674013072721,0.00787269553754695
"4",27.1547225560062,579.136078629294,0.0323575639555688,38.2045573768724,0.146003457279876,0.0568010065450421,9.08109883964062e-10,0.0345826472860123,0.95024468133226,NA,1.3,11.9999263713242,-0.0644955478028219
"5",32.2297237254679,815.836341021008,0.0397612514877327,46.4403243329164,0.148991987318732,0.0768403307225692,9.23120285524055e-10,0.0426354731783975,0.95024468133226,NA,1.3,10.6973890644816,0.036277789013099
"6",13.8294740137644,150.210816407816,0.0188373710595406,10.7486196323009,0.104272126057185,0.0150210816407816,9.94067661557347e-10,0.0188842863819328,0.95024468133226,NA,1.3,10.618630251273,-0.068486074515574
"7",37.5156149757095,1105.38615677258,0.0492790993116181,58.1716832512276,0.139518644614145,0.098726935574583,1.08559395852499e-09,0.0485942077266586,0.95024468133226,NA,1.3,11.5966537138523,0.223350679045201
"8",31.9446088885888,801.465868119237,0.0393036423391181,51.090201619516,0.141660439656116,0.0653447172007332,1.08524698973633e-09,0.0410744170598634,0.95024468133226,NA,1.3,10.9895303316463,0.194480634838835
"9",53.6486586695537,2260.51616833889,0.0948694386243481,120.61718102907,0.1371652188804,0.181434568017739,1.013358419016e-09,0.0877123220205451,0.95024468133226,NA,1.3,12.0948564817214,0.0897231147118254
"10",26.8853302719072,567.702273164847,0.0320055870581878,39.1624050762419,0.159171579545364,0.0496024691332827,1.07869695294648e-09,0.0339645816681572,0.95024468133226,NA,1.3,11.8304237096769,-0.0970404875414038
"11",20.690255172085,336.218475821087,0.0248881163387288,23.1562282105151,0.130292420741171,0.0336218475821087,9.67175540933386e-10,0.0254392824813961,0.95024468133226,NA,1.3,11.7065745900175,-0.10570065782406
"12",42.2075745672919,1399.17061029082,0.0596201498413908,74.2773447786571,0.135883493535221,0.106417693597758,9.98073655134067e-10,0.0645929939988164,0.95024468133226,NA,1.3,10.7308639112425,-0.158207198258151
"13",58.0211660498753,2644.00813162572,0.113298441872814,127.342681956502,0.134142750040628,0.201718424350525,1.09181300019845e-09,0.105103839720058,0.95024468133226,NA,1.3,11.1646866478505,0.136269872490926
"14",16.3326262170449,209.50863507871,0.0208524343849391,14.2142217613394,0.136492198603228,0.020950863507871,9.28063999628648e-10,0.0207165649984825,0.95024468133226,NA,1.3,9.98138311398944,0.144801790667508
"15",44.768476523459,1574.1079504787,0.0661527340611432,84.3421211599833,0.110134025309235,0.141244998158792,1.066800496215e-09,0.071200105299835,0.95024468133226,NA,1.3,10.4852561784397,-0.0346843196039335
"16",41.7452211165801,1368.68470138087,0.0585114260009589,83.5448922076974,0.130549948108383,0.109479137378582,9.33842307841405e-10,0.0567259753207067,0.95024468133226,NA,1.3,11.6992068831409,0.0595647804315928
"17",41.2925268779509,1339.16102670292,0.0574458442769839,82.0027108089802,0.145832635546103,0.118504595012176,1.04009340112098e-09,0.0553279967369797,0.95024468133226,NA,1.3,9.55454649156575,0.0472760373571503
"18",38.2630953472108,1149.87354233823,0.0507975307025444,64.8713172178946,0.147362255090848,0.106332089876774,9.50978041393682e-10,0.046242467174324,0.95024468133226,NA,1.3,10.9472225609467,0.00144510318267793
"19",49.6981617901474,1939.86064565205,0.0808108664917502,97.4027017597731,0.149101273142733,0.140126515914583,1.05552348326892e-09,0.084491511364487,0.95024468133226,NA,1.3,12.7111568157058,0.0272653107865086
"20",40.8562875376083,1311.01507038327,0.0564373598623807,77.6336589624029,0.108235951061361,0.106190975549552,1.05230473079719e-09,0.0592920419874033,0.95024468133226,NA,1.3,9.50287698092241,-0.0805890204563137
"21",43.4679493564181,1483.98047253955,0.0627503915579156,89.0511865166627,0.142596234567463,0.131389954144861,1.04976516403258e-09,0.0571737017225379,0.95024468133226,NA,1.3,11.5016717115472,-0.0517697131838991
"22",52.0675009023398,2129.23378120419,0.0889706562866853,106.573153204307,0.149347880608402,0.154533647661862,1.06348708309233e-09,0.0970240973403408,0.95024468133226,NA,1.3,11.3022908060524,0.143953712460561
"23",48.9356338535435,1880.79004500774,0.0783474019367423,94.2377085915988,0.153165617296472,0.153937560866235,1.09584309933707e-09,0.0838638015962943,0.95024468133226,NA,1.3,11.3395210339186,-0.00220750668074772
"24",31.8885860173032,798.657190932958,0.0392143466728174,47.2262879838796,0.13369312194176,0.0734507407424152,1.0609655351378e-09,0.0391097209163828,0.95024468133226,NA,1.3,11.851840863831,0.056241040778369
"25",53.8790533458814,2279.97347510296,0.0957610130199177,124.379032547528,0.144665950885974,0.174138951499943,9.6168345590122e-10,0.0866586311527005,0.95024468133226,NA,1.3,12.2282715109391,0.00892597274067554
